,address,categoryName,phone,postalCode,reviewsCount,state,title,website
78,"Shop No 2, Marol Maroshi Rd, opp. Bhavani Nagar, Mahavir Nagar, Marol, Andheri East, Mumbai, Maharashtra 400059, India",Baby clothing store,+91 99673 50976,400059.0,59,Maharashtra,First Smile New Born Paradise,
416,"Shant Sakha building, Nehru Rd, above Adar Udupi Refreshments, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057, India",Baby clothing store,+91 98605 01589,400057.0,7,Maharashtra,Cuddles & Coddles,
412,"Shop Number 05, Super Bazar, Santacruz Railway Station Rd, Navin Nagar, Willingdon, Santacruz (West), Mumbai, Maharashtra 400054, India",Baby clothing store,+91 76666 77755,400054.0,2,Maharashtra,YUSRAH KIDS WEAR,
409,"New post office, sayba palace, 34-35/A, New Mill Rd, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",Baby clothing store,+91 98218 08088,400070.0,5,Maharashtra,Sayba kid's wear,
101,"Shop No-19, 2A, HIGHWAY PARK, E-2, Asha Nagar Rd, Kandivali, Gokul Heven, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101, India",Baby clothing store,+91 98706 57070,400101.0,14,Maharashtra,Sakshi Baby,
581,"Lalji pada market, Sahyog Ln, Kandivali, Kandivali West, Mumbai, Maharashtra 400067, India",Baby clothing store,,400067.0,0,Maharashtra,Pooja cloth store,
407,"Shop no. 3, Mohini Tower, 5th Rd, behind hotel shiv Sagar, Govind Dham, Khar West, Mumbai, Maharashtra 400052, India",Baby clothing store,,400052.0,2,Maharashtra,Little duck,
584,"Shop No 189, Indraprasth Shopping Centre, Mangal Kunj, Datta Park, Borivali West, Mumbai, Maharashtra 400092, India",Baby clothing store,+91 75061 47744,400092.0,3,Maharashtra,Nikki Collection,
401,"opp. L2K, near Codes, Khar, Old, Khar West, Mumbai, Maharashtra 400052, India",Baby clothing store,,400052.0,4,Maharashtra,Cherry Kids Wear,
391,"Chakala, Andheri East, Mumbai, Maharashtra 400099, India",Baby clothing store,+91 98190 39685,400099.0,20,Maharashtra,chibby,http://www.chibby.in/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10202584056813994649
94,"Shop no 2, A, 02, Thakur Rd, opp. Thakur cinema, Thakur, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101, India",Baby clothing store,+91 99209 75154,400101.0,39,Maharashtra,Little Baby,
590,"Swati Building, 9, Haji Bapu Rd, Mahindra Nagar, Kailash Chandra Cooperative Housing Society, Malad East, Mumbai, Maharashtra 400097, India",Baby clothing store,,400097.0,2,Maharashtra,Trendy Threads - Your perfect place for kids Clothing,
92,"Shop No.47 Ground Floor, Centrium Mall, opp. Mahada no.1, Kandivali, MHADA Colony, Lokhandwala Twp, Kandivali East, Mumbai, Maharashtra 400101, India",Baby clothing store,+91 74004 81757,400101.0,25,Maharashtra,The Jaksh Baby Kids Wear,
91,"Shop no. 15, Navrang wadi, Akurli Rd, Hanuman Nagar, Kandivali East, Mumbai, Maharashtra 400101, India",Baby clothing store,,400101.0,4,Maharashtra,Om kids wear,
595,"Swapna Nagari, Nirmal Nagar, Mulund West, Mumbai, Maharashtra 400080, India",Baby clothing store,,400080.0,0,Maharashtra,Thrifttown,http://www.thrifttown.in/
597,"Sunteck City, Shop no 2 building no 16, Gulab Apartment, W Near, 4th avenue, Amrut Nagar, Jogeshwari West, Mumbai, Maharashtra 400102, India",Baby clothing store,+91 70211 93029,400102.0,0,Maharashtra,MINIQUE - best kidswear in jogeshwari,
88,"Shantinath Shopping Centre, SV Rd, Malad, Navy Colony, Mamledarwadi, Malad West, Mumbai, Maharashtra 400064, India",Baby clothing store,+91 96191 82323,400064.0,20,Maharashtra,Tiny Trends,http://www.twothree.in/
389,"Vinobha Bhave Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",Baby clothing store,,400070.0,0,Maharashtra,Peekaboo Kids Closet,
85,"2, Jagdish Shetty Rd, Kandivali, Ekta Nagar, Kandivali West, Mumbai, Maharashtra 400067, India",Baby clothing store,+91 88793 90081,400067.0,3,Maharashtra,New fashion point,
84,"Shop No.5, Supreme Madhukar Building, Shimpoli Rd, Kastur Park, Borivali West, Mumbai, Maharashtra 400092, India",Baby clothing store,+91 98197 14978,400092.0,15,Maharashtra,Valkan Fashion 4 Kids,
382,"Bandi Bazaar, Nair Wadi, Asalpha, Mumbai, Maharashtra 400072, India",Baby clothing store,,,1,Maharashtra,KGN Clothing,
81,"shop no.1, vazvilla chs, I C Colony, Borivali West, Mumbai, Maharashtra 400103, India",Baby clothing store,+91 22 2893 5504,400103.0,0,Maharashtra,Baby's Choice,
512,"Shop No.48, Indraprastha Shopping Center, Swami Vivekananda Rd, Borivali West, Mumbai, Maharashtra 400092, India",Baby clothing store,+91 99876 08001,400092.0,3,Maharashtra,Anita Kids Wear,
377,"Inox Cinema, Neelyog Square, Art Studio 9, Jawahar Road, Landmark:, opp. Ghatkopar Railway Station, Saibaba Nagar, Mumbai, Maharashtra 400077, India",Baby clothing store,,400077.0,15,Maharashtra,Ke and Kaa,
621,"Shop No. E-06, Vivina Shopping Centre (Nadco Shopping Centre), Near Railway Station, Ifiniti Rd, Railway Colony, Andheri West, Mumbai, Maharashtra 400058, India",Baby clothing store,+91 98337 78863,400058.0,0,Maharashtra,Chiller Party,
374,"2nd Floor, Diamond Shivagiri House, Gala No. 5, Khairani Rd, near Ayyappa Mandir, Nair Wadi, Saki Naka, Mumbai, Maharashtra 400072, India",Baby clothing store,+91 98205 23084,400072.0,4,Maharashtra,Orbit Enterprises,
431,"Ghatkopar, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra 400077, India",Baby clothing store,,400077.0,0,Maharashtra,VEDANSH CREATION,
434,"PUSHPANJALI SOCIETY, SV Rd, Santacruz (West), Mumbai, Maharashtra 400054, India",Baby clothing store,,400054.0,0,Maharashtra,MISS OLIVE,
109,"Shop No.6 Laxmi Market, N.G.Acharya Marg, Station Road, Chembur, Acharya Marg, Chembur Gaothan, Chembur East, Mumbai, Maharashtra 400071, India",Baby clothing store,+91 75060 15761,400071.0,1,Maharashtra,Sunder Stores,
111,"Shop No-12, Jalaram Nagar No-3, V B Lane, Ghatkopar(E), Mumbai, Maharashtra 400077, India",Baby clothing store,+91 98690 67969,400077.0,27,Maharashtra,Natkhat,
513,"shiv Mandir chawl, B-15, near Gorakhnath provision store, Kandivali, Janupada, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101, India",Baby clothing store,+91 83699 33650,400101.0,1,Maharashtra,Krishna distributors,
502,"Room no 9, Baxising Chawl, near times of india, Bandongri, Tanji Nagar, Kurar Village, Malad East, Mumbai, Maharashtra 400097, India",Baby clothing store,,400097.0,1,Maharashtra,Chamunda Garments,
501,"2, Evershine Nagar Rd, Malad, Evershine Nagar, Malad West, Mumbai, Maharashtra 400064, India",Baby clothing store,+91 98203 62449,400064.0,15,Maharashtra,Sweety Collection,
167,"Govardhan Giri, Bangur Nagar, Goregaon West, Mumbai, Maharashtra 400104, India",Baby clothing store,+91 90820 64203,400104.0,2,Maharashtra,Little Lin Store,http://www.littlelin.store/
149,"BLOCK NO-15/1, ANUGRAH ,NETAJI ROAD, WEST, Mulund Colony, Mulund West, Mumbai, Maharashtra 400082, India",Baby clothing store,+91 99878 38990,400082.0,22,Maharashtra,Thakkar Enterprises,http://nuttybunny.in/
498,"Shop No 1, Modispaces Volga, Sundar Vihar Socity, Shimpoli Rd, opp. Bank of Baroda, Rayani Gram, Borivali West, Mumbai, Maharashtra 400092, India",Baby clothing store,+91 81695 44933,400092.0,79,Maharashtra,Elegant kids studio,
496,"PRAVASI INDUSTRIAL ESTATE, Vishveshwar Nagar Rd, Yashodham, Goregaon, Mumbai, Maharashtra 400063, India",Baby clothing store,+91 88284 85837,400063.0,2,Maharashtra,Parekh Clothing Company,
493,"Shop Number 8, Jawahar Darshan Building, Shivaji Chowk, Daftary Road, Malkani Estate, Malad East, Mumbai, Maharashtra 400097, India",Baby clothing store,+91 77180 37869,400097.0,49,Maharashtra,Lovely Kids Wear- Kids Wear in Malad,
490,"22/173, Motilal Nagar No. 1, near Buddh Mandir, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104, India",Baby clothing store,+91 81697 26392,400104.0,31,Maharashtra,Kilkaari Kidswear Private Limited,https://kilkaari.shop/
489,"Shop No. 1, Goyal Shopping Arcade, Bharucha Rd, Sundar Nagar, Borivali West, Mumbai, Maharashtra 400092, India",Baby clothing store,,400092.0,6,Maharashtra,Sunita Kids Wear,
487,"Shop Number 10, Sharda Bhuvan, Narayan Joshi Rd, Jethava Nagar, Kandivali West, Mumbai, Maharashtra 400067, India",Baby clothing store,+91 88792 18055,400067.0,0,Maharashtra,Alankaar Dresses,
480,"Shop No. 3, Jas Villa, Near, Orlem Market Ln, Malad, Orlem, Malad West, Mumbai, Maharashtra 400064, India",Baby clothing store,+91 96197 97694,400064.0,0,Maharashtra,New Baby's,
70,"Shop No. 1, Teresa Triumph CHS, opp. blue fox hotel, beside Sukhdayak Society, Bamanpuri, J.B. Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400059, India",Baby clothing store,+91 72081 95597,400059.0,97,Maharashtra,MABEL BABY STORE,
473,"90 Feet Rd, Friends Colony, Bhandup East, Mumbai, Maharashtra 400042, India",Baby clothing store,+91 99200 41049,400042.0,4,Maharashtra,Cuddle Quilts...Warmth from the Heart❤️,https://www.instagram.com/cuddle_quilts?igsh=MXJwa3RzaTMzZnpnbw==
547,"C/8, F, Malad Industrial Estates, Malad, Kanchpada, Malad West, Mumbai, Maharashtra 400064, India",Baby clothing store,,400064.0,0,Maharashtra,Mahikrite India,
470,"Shop No 1, 2, Lal Bahadur Shastri Marg, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",Baby clothing store,+91 98333 43998,400070.0,55,Maharashtra,SOBRON KIDS WEAR,
469,"Gala No B/2, First Floor, Lokmanya Tilak Nagar, Saki Naka, Mumbai, Maharashtra 400072, India",Baby clothing store,+91 99671 43068,400072.0,33,Maharashtra,Arvesa,http://arvesa.in/
468,"D-6, Jai Shastri Nagar, Highland Park, Mulund West, Mumbai, Maharashtra 400082, India",Baby clothing store,+91 93246 12542,400082.0,12,Maharashtra,Mum's Caress,http://www.mumscaress.com/
120,"SHOP NO 5 , BUILDING NO 1, bellona, 90 Feet Rd, near SHIVAJI TECHNICAL SCHOOL, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075, India",Baby clothing store,+91 99693 60452,400075.0,4,Maharashtra,KIDORRAH,https://www.kidorrah.com/
119,"Road No. 14, Indra Nagar, Indira Nagar, Baiganwadi, Govandi East, Mumbai, Maharashtra 400043, India",Baby clothing store,+91 95946 84387,400043.0,1,Maharashtra,Sony Diaper,
466,"6, Sahar Rd, opp. Jain Tempal, Halwai Nagar, Koldongri, Andheri ( E, Mumbai, Maharashtra 400069, India",Baby clothing store,+91 91679 21362,400069.0,4,Maharashtra,OM SAI GARMENTS,
465,"Shop Number.3, Haji Nazar Ali Chawl, New Mill Rd, BMC Colony, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",Baby clothing store,+91 93240 96075,400070.0,4,Maharashtra,A To Z Mini Market,
554,"Nanddham Society, Cross Rd Number 2, opp. THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY, ठाकुर, Singh Agri Estate, Kandivali East, Mumbai, Maharashtra 400101, India",Baby clothing store,,400101.0,0,Maharashtra,Right Vision Baby Care,
