"address","categoryName","phone","postalCode","reviewsCount","state","title","website"
"Mahavir Nagar, Kandivali West, Mumbai, Maharashtra 400067, India","Baby store","+91 97694 07640","400067","43","Maharashtra","Baby boutique","http://www.babyboutiqemumbai.com/"
"metro station On, New Link Rd, Kandivali, Pragati Society, At, Kandivali West, Mumbai, Maharashtra 400067, India","Baby store","+91 93244 26042","400067","651","Maharashtra","Firstcry.com Store Mumbai Kandivali","http://www.firstcry.com/"
"Shop No 2, Bindiya Society, Ramdas Nayak Marg, Hill Rd, Bandra West, Mumbai, Maharashtra 400050, India","Baby store","+91 91671 66166","400050","45","Maharashtra","Baby Touch",
"Shop No 4, Ahimsa Marg, off New Link Road, Malad, Chincholi Bunder, Malad West, Mumbai, Maharashtra 400064, India","Baby store","+91 70459 22618","400064","48","Maharashtra","Sunera",
"Yogi Prabhat bldg, D/8, 91, Yogi Nagar, Borivali, Mumbai, Maharashtra 400091, India","Surgical supply store","+91 90821 95552","400091","68","Maharashtra","Khodiyar Enterprise",
"Shop No. 5, Kasturba, Cross Road No. 3, near Sai Dham Temple, Chinchpada, Borivali East, Mumbai, Maharashtra 400066, India","Baby store","+91 84519 56440","400066","423","Maharashtra","Asfiya Enterprises",
"Koyana Apartments, Sant Dnyaneshwar Rd, Shantivan, Sri Krishna Nagar, Borivali East, Mumbai, Maharashtra 400066, India","Baby store",,"400066","0","Maharashtra","Beauty Mums & Babies",
"Shop No. 5, Munisuvrat Apartment, Mathuradas Road, Kandivali, Bhagat Colony, Kandivali West, Mumbai, Maharashtra 400067, India","Baby store","+91 91360 03602","400067","0","Maharashtra","New Baby N Beauty",
"Kandivali, Laljipada, Ganesh Nagar, Kandivali West, Mumbai, Maharashtra 400067, India","Baby store",,"400067","15","Maharashtra","Shourya Diaper Point",
"91, Galleria shopping, Main St, Hiranandani Gardens, Panchkutir Ganesh Nagar, Powai, Mumbai, Maharashtra 400076, India","Baby store","+91 99876 44736","400076","0","Maharashtra","Kaddly the little baby shop","https://www.facebook.com/kaddly/"
"Shop no. 8, manek nagar, opp.Merwans cake shop Gulmohar Rd, Cross, Lokmanya Tilak Rd, Borivali West, Mumbai, Maharashtra 400092, India","Baby store","+91 91360 03603","400092","35","Maharashtra","Baby N Beauty",
"17 B/A-606, Ganga CHS, Sangharsh Nagar, Chandivali, Powai, Mumbai, Maharashtra 400072, India","Baby store",,,"1",,"Raj Enterprises",
"gate 4, Gala no 17AB, Naupada Road, Lane, nr. Al Quba Tower, next to Naaz Hotel, Mumbai, Maharashtra 400070, India","Children's store","+91 99676 32355","400070","0","Maharashtra","PiK A BOO","http://pikabooindia.com/"
"12, Sangeet Samrat Naushad Ali Rd, sherly village, Bandra West, Mumbai, Maharashtra 400050, India","Hygiene articles wholesaler","+91 88797 25134","400050","13","Maharashtra","Diaper King",
"Nand Dham Industrial Estate, Marol Maroshi Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India","E-commerce service","+91 99451 00007","400059","167","Maharashtra","KidsCity.in","http://www.kidscity.in/"
"Shop no7, Dosti Heritage D'Souza Nagar, 90 Feet Rd, kurla(W, Saki Naka, Mumbai, Maharashtra 400072, India","Baby store","+91 98200 77736","400072","6","Maharashtra","Baby care diaper enterprises",
"Gr Floor, C&B Square, Sangam Complex, 127, Andheri - Kurla Rd, Dr. Charatsingh Colony, S B Singh Colony, J B Nagar, Andheri (E, Mumbai, Maharashtra 400059, India","Baby store","+91 99875 49314","400059","23","Maharashtra","Tots & Bubbles","https://totsandbubbles.com/"
"1st Floor, PHOENIX MARKETCITY, No F 64, Lal Bahadur Shastri Marg, Patelwadi.Kurla, Kurla West, Kurla, Mumbai, Maharashtra 400070, India","Baby store","+91 80 4495 3389","400070","0","Maharashtra","Me N Moms Phoenix Marketcity, Kurla, Mumbai","https://www.menmoms.in/"
"Shop Number 1, Next Bhagwan Collection, Bazar, Santacruz Railway Station Rd, Willingdon, Santacruz (West), Navi Mumbai, Mumbai, Maharashtra 400054, India","Clothing store","+91 79000 01471","400054","68","Maharashtra","Gunjan New Born Baby & kids Wear",
"Shop Number 93, Galleria Shopping Mall, Hiranandani Gardens, Panchkutir Ganesh Nagar, Powai, Mumbai, Maharashtra 400076, India","Baby store","+91 98200 61502","400076","0","Maharashtra","Little Baby","https://www.instagram.com/littlebabypowai"
"Shop No.1, Siddhachal Arcade, New Link Rd, Malad West, Mumbai, Maharashtra 400064, India","Baby store","+91 96070 08406","400064","649","Maharashtra","Babyhug Store Mumbai Malad","http://www.firstcry.com/"
"Bhageshri Niwas, 227/C, Ground Floor, 21st Road, Dan Pada, SB Patil Rd, Khar West, Maharashtra 400052, India","Hygiene articles wholesaler","+91 73046 46649","400052","0","Maharashtra","BonBon Products - Baby Diapers and Adult Diapers","https://bonbonindia.com/"
"Sai Aastha CHS, No. 9 & 10, SV Rd, opp. Vasundhara, Mulji Nagar, Borivali West, Mumbai, Maharashtra 400092, India","Baby store","+91 74004 39190","400092","526","Maharashtra","Me n Moms Baby Care and Kids Store in Borivali West","https://www.menmoms.in/"
"Shop no. 7, Matru Ashish CHSL, Chhatrapati Shivaji Rd, Krishna Colony, Dahisar East, Mumbai, Maharashtra 400068, India","Baby store","+91 96070 09022","400068","0","Maharashtra","Firstcry.com Factory Outlet Mumbai Dahisar","https://www.firstcry.com/?utm_source=gmb_optimization&utm_medium=organic&utm_campaign=gmb"
"Unit no sf 244 second floor Infiniti, Infiniti Malad, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064, India","Children's clothing store","+91 81699 79061","400064","36","Maharashtra","Adidas Kids Infinity Malad","https://www.adidas.co.in/kids"
"Shop No.1, 2 & 3, Kamdar Shopping Arcade, Tilak Road, next to Food Spot, Ghatkopar East, Mumbai, Maharashtra 400077, India","Baby store","+91 90292 02030","400077","492","Maharashtra","Innocence Infants & Kids","https://www.facebook.com/innocence.shilp"
"Maratha Colony Rd, Maratha Colony, Dahisar East, Mumbai, Maharashtra 400068, India","Baby store","+91 81696 21613","400068","49","Maharashtra","Dahisar Diaper House",
"43, Shimpoli Rd, Vivekanand Nagar, Borivali West, Mumbai, Maharashtra 400092, India","Baby clothing store",,"400092","2","Maharashtra","Baby Moo",
"Akshar Gully, B 701, Akshar Apt 2, Bldg, Hemukalani Cross Rd Number 3, behind Sai Raj Garden Apartment, Kandivali West, Mumbai, Maharashtra 400067, India","Baby store","+91 96196 80357","400067","92","Maharashtra","Strollers on Rent","https://strollers-on-rent.grexa.site/"
"Sarita Prabhat Industrial & Residential Complex, Sagar building, Gala Number 204, Western Urban Rd, near Toll Plaza, near CNG pump, Diamond Industrial Estate, Dahisar East, Mumbai, Maharashtra 400068, India","Baby clothing store","+91 93728 51546","400068","1087","Maharashtra","Knitroot India Pvt Ltd","https://www.knitroot.com/"
"Gokul Gagan Apartment, Factory Lane Road, opposite Ambaji Dham Temple, Mini Zaveri Bazaar, Shimpoli, Borivali, Mumbai, Maharashtra 400092, India","Baby store","+91 96070 09506","400092","1823","Maharashtra","Babyhug Store Mumbai Borivali",
"Shop No 26, G Sector 1, 2 Line, Line Road, Cheeta Camp, Trombay, Mumbai, Maharashtra 400088, India","Baby store","+91 96199 25775","400088","1","Maharashtra","A-1 Diapers",
"MY DIVINE Co-Operative Housing Society Limited CTS No.132/2, Shop No- GF- 01 & 02, Aziz Baug, Mahul, Marouli Village Rd, Chembur, Mumbai, Maharashtra 400074, India","Baby store","+91 86000 26447","400074","1540","Maharashtra","FirstCry.com Store Mumbai Chembur East","https://www.firstcry.com/"
"Surganga Chs Kandivali, 12, Charkop Gaon, Mumbai, Maharashtra 400067, India","Clothing store","+91 79774 91686","400067","138","Maharashtra","Baby Smile Kids",
"Shop No.1, Shivaji Chowk, Guru Gobind Singh Marg, Mulund Colony, Mulund West, Mumbai, Maharashtra 400082, India","Baby clothing store","+91 93720 51150","400082","10","Maharashtra","Nice Baby",
"115, Lake Rd, Bhandup, Sonapur, Bhandup West, W, Mumbai, Maharashtra 400078, India","Baby store","+91 22 2594 8641","400078","0","Maharashtra","Florite Baby Products","http://floritebaby.com/"
"First Floor, Central Ave Rd, opposite HDFC Bank, Chembur, Mumbai, Maharashtra 400071, India","Clothing store","+91 22 6845 3500","400071","166","Maharashtra","Fabindia, Chembur","https://www.fabindia.com/"
"Shop no 1, Silver pearl building 213, Lane, Waterfield Road, opp. Amarsons, Bandra West, Mumbai, Maharashtra 400050, India","Manufacturer","+91 98926 86101","400050","5","Maharashtra","Mohini Impex( Manufacturers of Newborn baby Garments and accessories)",
"PL Lokhande Marg, near hanuman mandir, Nagwadi, Rahul Nagar, Chembur, Mumbai, Maharashtra 400089, India","Baby store","+91 93236 04971","400089","29","Maharashtra","Milee fashion:- Baby Carry Nest|Baby Mattress Set|Baby Pillow Supplier, Manufacturer in Mumbai, Maharashtra",
"Shop Number 1, options fashion mall ,Vile Parle Shopping Centre Vaikunthal Mehta Road, Above Sahakari Bhandar, Vile Parle West, Juhu, Mumbai, Maharashtra 400049, India","Children's clothing store",,"400049","52","Maharashtra","BABY BELL",
"Akurli Rd, Kandivali, Akurli Industry Estate, Kandivali East, Mumbai, Maharashtra 400101, India","Baby store",,"400101","0","Maharashtra","BABY EQUIPMENT STORE",
"211, LOTUS BUSINESS PARK, Ram Baug Road, SV Rd, near Chincholi Naka, Malad West, Mumbai, Maharashtra 400064, India","Baby store","+91 87796 57853","400064","37","Maharashtra","Kiddicare - Premium Baby Wipes in india","https://www.kiddicare.co.in/"
